42083,McKean,Pennsylvania,0.717,0.244,15572,11159,3802,0.724,0.261,19427,14067,5076,41.80938602,-78.56478358,162,2,42070,21802,20268,2.1,93.5,2.5,0.1,0.4,0,33352,45866,1426,24868,1041,17.3,27.2,29.4,21,17.9,10.9,20.7,81,10.6,1,3.1,1.2,3.1,21.1,18316,82.1,12.2,5.7,0.1,7.5
42085,Mercer,Pennsylvania,0.606,0.356,49594,30034,17631,0.625,0.362,56420,35282,20426,41.30248872,-80.25816981,1146,27,113623,55992,57631,1.4,90.3,5.7,0.1,0.7,0,90091,47340,1186,25499,636,13.7,23.7,30.6,21.2,22.8,8.4,17.1,81.9,8.4,0.3,3.3,1.1,4.9,20.8,50193,82.7,11.2,5.9,0.2,5.8
42087,Mifflin,Pennsylvania,0.77,0.195,18239,14050,3563,0.775,0.214,21491,16663,4599,40.61116939,-77.61070738,457,4,46452,22748,23704,1.4,96.1,0.6,0.1,0.6,0,35727,46286,1795,23568,827,13.5,21.4,25.2,19.4,18.7,12.6,24.1,79.2,11.5,0.2,3.2,2.1,3.8,24.1,20884,83.9,9,6.8,0.2,4.2
42089,Monroe,Pennsylvania,0.481,0.484,65944,31706,31930,0.463,0.525,83499,38640,43844,41.05934058,-75.34031025,2081,135,167306,82610,84696,14.9,67.6,13,0.2,2.2,0,127290,61430,1956,27439,588,11.1,15.7,32.5,20.2,24.5,8.8,14,78.5,9.6,4.1,2.1,0.9,4.8,38.6,78341,81.2,13.6,5.1,0.1,9.2
42091,Montgomery,Pennsylvania,0.376,0.587,427489,160803,251063,0.365,0.625,501561,182907,313543,40.21053671,-75.36652296,14421,895,818677,397990,420687,4.9,76.6,8.8,0.1,7.3,0,605802,84791,781,45048,468,6.4,7.6,49.8,13.1,23,6.2,7.9,78.6,6.6,5.4,2.4,0.8,6.1,28.7,427012,86.7,7.7,5.4,0.1,5.2
42093,Montour,Pennsylvania,0.618,0.334,8535,5274,2851,0.595,0.384,9812,5842,3768,41.03023987,-76.66345939,311,11,18302,8858,9444,2.5,92.1,1.8,0,3.1,0,14364,56250,3159,31818,1605,10.5,16.1,38,16.9,22.8,7.9,14.4,81.6,6,0.7,6.1,1.4,4.3,19,8662,86.3,8.7,5,0,4.4
42095,Northampton,Pennsylvania,0.5,0.462,142775,71384,65936,0.489,0.497,169403,82830,84145,40.75182733,-75.30471829,5619,315,300941,147829,153112,12.4,77.9,4.7,0.1,2.8,0,231519,65390,1003,32608,583,9.2,13.6,35.4,17.3,24.8,8.3,14.3,83.1,7.1,1.9,2.5,1.6,3.7,27.6,148278,85.5,9.8,4.6,0.1,5.7
42097,Northumberland,Pennsylvania,0.698,0.263,34971,24418,9184,0.684,0.3,42335,28975,12703,40.84785433,-76.70798222,1594,112,93038,46851,46187,3.2,93,2.5,0.2,0.3,0,74279,44534,1601,24278,585,14.4,21,27.9,20.8,21.3,10.1,19.9,83.2,8.8,0.1,2.8,1.3,3.8,23.3,41505,81.9,12.5,5.5,0.2,5.1
42099,Perry,Pennsylvania,0.738,0.219,21153,15613,4630,0.742,0.241,24652,18293,5950,40.40206612,-77.26297447,382,6,45878,23135,22743,1.8,95.8,0.9,0.2,0.4,0,35551,60847,2069,28900,706,8.4,11.4,30.4,14.1,23.5,14.7,17.3,79.2,12.3,0.4,2.1,0.8,5.2,32.6,22983,76.2,16.3,7.2,0.3,4.3
42101,Philadelphia,Pennsylvania,0.155,0.824,680227,105418,560542,0.181,0.812,709271,128325,576275,40.00338507,-75.1379271,44505,1875,1569657,742412,827245,14.1,34.9,41.3,0.2,7,0,1128642,40649,466,24811,226,25.8,36,37.7,23.1,22.4,5.9,10.9,51,8.4,25.3,8.3,3.5,3.5,32.9,665765,83.5,12.4,4,0.1,11.3
